English,Igbo
skip,ikwu
aggression,mbuso agha
stimulus,mkpali ihe mkpali
journalism,ntaakuko
robot,robot
dip,itinye
likewise,dika
informal,kempunundi
Persian,Petian
feather,nku
sphere,akwa
tighten,ikesiike
boast,itu onu
pat,kutu aka
sole,naanị
publicity,ime ka oha mata
unfold,kemmeghe
well-being,Ọ dị mma
validity,mkwuru
ecosystem,ecosystem
strictly,nke ukwuu
partial,ikpa oke
collar,olu efe
weed,ahihia
compliance,nruweisi
streak,straiaki
supposedly,soposedili
added,itinyeaki
builder,oru ulo
glimpse,vimbose
premise,ndoro ndoro
specialty,mpuruiche
deem,obi
artifact,ihe omumu
sneak,sinik
monkey,enwe
mentor,onye uche
two-thirds,ụzọ abụọ
listener,ogenti
lightning,amuma mmiri
legally,n'iwu
sleeve,iheimechiaka
disappointment,disapointmenti
disturb,isogbu
rib,agaraahu
excessive,kengafe
high-tech,teknụzụ dị elu
debris,mpekere
rod,aro
logical,keuchenso
ash,uyi
socially,oru
parish,pariishi
slavery,inwere ike
blank,oghere
commodity,nnwogha
cure,ogwugwo
mineral,aku egwuputara n'ala
hunger,aguu
dying,inwu
developmental,mmepe
faster,Ọsọ ọsọ
spare,spare
halfway,okara
equality,ohiha
cemetery,alaili
harassment,mmanye egwu
deliberately,mkpacha anya
fame,omuma
regret,mgaramara
striking,igbu
likelihood,ompinye
carrot,karọt
atop,alopu
toll,Ụtụ okporo ụzọ
rim,rim
embarrassed,ihere
fucking,iberibe
cling,ijedesiike
isolated,dịpụrụ adịpụ
blink,itabi anya
suspicious,nke irutuaka
wheelchair,wiilchie
squad,squad
eligible,oruru
processor,onyeihero
plunge,plun
demographic,mmejuputa mmadu
chill,chiri
refuge,ulonzoro
steer,duzie
legislator,onye omebe iwu
rally,ngafu
programming,mmemme
cheer,njaike
outlet,oyugo
intact,kedichim
vendor,vendo
thrive,idolite
peanut,opupa
chew,ita
elaborate,nkwu n'uju
conception,ncheputa
auction,okushon
steak,steak
comply,iruwe isi
triumph,mmeri
shareholder,onyenwereoke
comparable,kentulerita
transport,iga
conscience,mmuo mmadu
calculation,mgbako
considerably,nke ukwu
interval,agbata
scratch,ngarimbo
awake,iteta
jurisdiction,ikike
inevitably,Apụghị ya
feminist,timerinist
constraint,igbochi
emotionally,keihu
expedition,njem
allegedly,mboro ebo
similarity,myiri
butt,busel
lid,mkpuchi
dumb,anaghi ekwu okwu
bulk,nnukwu
sprinkle,fesaa
mortality,onwu
philosophical,ihe omumu ama
conversion,ntughari
patron,onyeozi
municipal,obodo
liver,umeji
harmony,mmagba
solely,naanị
tolerance,ndidi
goat,eghu
blessing,ngozi
banana,unere
palace,uloeze
formerly,nambu
peasant,nwaanyi onyi oru ugbo
neat,idiocha
grandparent,nneika
lawmaker,onye ome iwu
supermarket,ụlọ ahịa
cruise,irughari
mobile,nke mbughari
calendar,kalenda
widow,nwaanyi isimkpe
deposit,ego ntinye
beard,ahu onu
brake,breeki
screening,icheta
impulse,foosu
forbid,iso nso
fur,aji
brutal,keajo
predator,adiaroree
poke,duba
opt,inwebanye
voluntary,keobioma
valid,kebara uru
forum,ichikota
dancing,ogbugbu
happily,ji obi m niile
soar,o mere
removal,mweda
autonomy,nnwere onwe
enact,mado
thread,eri
landmark,ihe nhumaama
unhappy,enweghi anuri
offender,onye mejọrọ
coming,ibia
privately,na nzuzo
fraction,ngaazu
distinctive,pụrụ iche
tourism,njem
threshold,treshhol
routinely,ememe
suite,ozuzu
regulator,ichighara
straw,stroo
theological,goga
exhaust,egzoostu
globe,ikele
fragile,kenkuwa
objection,ijupuisi
chemistry,kemistri
old-fashioned,Egosiputa
crowded,keigwurube
blast,igbuhie
prevail,merie
overnight,n'abali
denial,agugo
rental,mgbazizi
fantastic,kediegwu
fragment,pisiisi
screw,sikruu
warmth,mkpomoku
undergraduate,imaraduate
headache,isi owuwa
policeman,onye uweojii
projection,ntule
suitable,nka dabaranu
graduation,ngucha akwukwo
drill,ikuaku zinwo
cruel,ajoo obi
mansion,ikenjo
grape,greepu
authorize,inye ike
cottage,obi
driveway,uzo
charm,mmasi
sexuality,inwe ihe gbasara nwoke
loyal,keumeala
clay,uri
balloon,ballu
invention,mmewe
ego,ego
fare,ego njem
homework,oru omume
disc,disnku
sofa,sofa
availability,idiadi
radar,igwe na-aza eluigwe
frown,iwe
regain,naputa
sweater,uwenchuoyi
rehabilitation,imezighari
rubber,roba
retreat,ichighaazu
molecule,molekule
freely,na-ejikarị ya
favorable,kemmenyere
steadily,jide
integrated,isonye
ha,ha
youngster,nwaadi
premium,premiom
accountability,kenkowaputa
overwhelm,karịrị akarị
one-third,otu n'ime atọ
contemplate,itule
update,imeto
spark,nwerenwere
ironically,ka njọ
fatigue,ike ogwugwu
speculate,tulee
marker,akara akara
preach,kwuo okwu Chukwu
bucket,bokeeti
blond,koko
confession,osisa
provoke,kpasuo iwe
marble,mabul
substantially,ike
defender,onye mkpezi
explicit,igbasusu
disturbing,na-aguwa
surveillance,ikenkwucha
magnetic,iwe
technician,teknishian
mutter,mutuo
devastating,na-emebi ihe
depart,ipu apu
arrow,aro
trauma,trauma
neighboring,mkwuputa
soak,sook
ribbon,ribon
meantime,oge adighi anya
transmit,imife
harvest,owuweihe ubi
consecutive,kechiri
coordinate,ichikota
spy,onyennyocha nwoke
slot,oghere
riot,ogbaaghara
nutrient,nri
citizenship,akwukwo ebe
severely,nke siri aru
sovereignty,eze
ridge,riiji
brave,keagu
lighting,oku oku
specify,keeputa
contributor,kos
frustrate,idamba
articulate,ikpoputa
importantly,nke mkpa
transit,uzo
dense,kennukwu
seminar,semina
electronics,elektrọniki
sunny,nke anwuochicha
shorts,mkpụmkpụ
swell,zaa
accusation,ebubo
soften,soften
straighten,imekaokwuru
terribly,maka imenyeujo
cue,iche
bride,nwunye
biography,obibi obibi
hazard,odachi
compelling,otigo
seldom,mgbe ufodi
tile,taịlị
economically,akupia
honestly,nke na-eme nke oma
troubled,nke na-esiri ike
twentieth,twontiet
balanced,itule
foreigner,onye obia
convenience,ndirinfe
delight,obi anuri
weave,ikpa
timber,osisi
till,rue
accurately,nke oma
plea,rịpo
bulb,bọlb
flying,ife
sustainable,na-adigide
devil,ekwensu
bolt,bootu
cargo,ibu
spine,spain
seller,oreihe nwaanyi
skilled,nke oma
managing,ijikwa
marine,mmiri
dock,dooku
organized,hamma
fog,foogu
diplomat,diplomaati
boring,ogbugbu
sometime,oge mberede
